Nome,Categoria,Vendas,Preco,Custo
Salmão Grelhado Premium,Prato Principal,190,85.00,28.00
Risoto de Camarão,Prato Principal,185,78.00,24.00
Mignon com Fritas,Prato Principal,160,92.00,35.00
Combo Sushi Especial,Japonês,150,140.00,45.00
Refrigerante Lata,Bebida,600,8.00,4.00
Água com Gás,Bebida,550,6.00,2.50
Prato Feito Tradicional,Almoço,480,25.00,12.00
Batata Frita Porção,Entrada,350,22.00,9.00
Cerveja Long Neck,Bebida,420,14.00,6.50
Vinho Tinto Reserva,Bebida,35,180.00,60.00
Lagosta na Manteiga,Prato Principal,15,195.00,65.00
Carpaccio de Mignon,Entrada,45,65.00,18.00
Polvo à Lagareiro,Prato Principal,25,145.00,48.00
Drinks Autorais,Bebida,80,45.00,12.00
Sopa de Cebola,Entrada,12,28.00,15.00
Salada Básica,Acompanhamento,20,18.00,8.00
Chá Gelado da Casa,Bebida,18,12.00,7.00
Torta de Maçã,Sobremesa,15,22.00,12.00
